source_doc_id,original_filename,relative_path,file_type,primary_domain,secondary_domains,inferred_source_type,inferred_publisher,inferred_industry,inferred_technology,inferred_capabilities,inferred_business_models,inferred_operating_models,inferred_customer_experience,inferred_frameworks,inferred_output_relevance,classification_confidence,classification_method,review_needed,notes
codex_doc_000034,Agile - From Campaigns to Continuums.docx,Agile - From Campaigns to Continuums.docx,docx,agile,,unknown,unknown,,,agility,,agile,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000035,Agile - HBR - Agile at Scale.pdf,Agile - HBR - Agile at Scale.pdf,pdf,agile,,practitioner,HBR,,,agility,,agile,,agile_at_scale,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000036,Agile - HBR - Agile.pdf,Agile - HBR - Agile.pdf,pdf,agile,,practitioner,HBR,,,agility,,agile,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000037,Agile - HBR - GE Case Study.pdf,Agile - HBR - GE Case Study.pdf,pdf,agile,,academic,HBR,,,agility,,agile,,,writing,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000038,Agile - HBR - ING Business Case.pdf,Agile - HBR - ING Business Case.pdf,pdf,agile,,practitioner,HBR,,,agility,,agile,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000039,Agile - HBR - The Agile C-Suite.pdf,Agile - HBR - The Agile C-Suite.pdf,pdf,agile,,practitioner,HBR,,,agility,,agile,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000040,AI - Academic - AI and Marketing 4.0.pdf,AI - Academic - AI and Marketing 4.0.pdf,pdf,ai,,academic,unknown,advertising_media_marketing;education_research,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000041,AI - Academic - AI Based Innovation.pdf,AI - Academic - AI Based Innovation.pdf,pdf,ai,innovation,academic,unknown,education_research,artificial_intelligence,innovation,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000042,AI - Academic - Orchestration Logic for Application.pdf,AI - Academic - Orchestration Logic for Application.pdf,pdf,ai,,academic,unknown,education_research,artificial_intelligence,,,coordination,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000043,AI as a catalyst for dynamic capabilities.pdf,AI as a catalyst for dynamic capabilities.pdf,pdf,ai,dynamic_capabilities,unknown,unknown,,artificial_intelligence,,,,,dynamic_capabilities,kinetic_organization,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000044,AI Meets Blockchain.pdf,AI Meets Blockchain.pdf,pdf,ai,blockchain,unknown,unknown,,artificial_intelligence;blockchain,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000045,AI Task Assessment.pdf,AI Task Assessment.pdf,pdf,ai,,internal,unknown,,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000046,AI-Governance-Dialogue-Steering-the-Future-of-AI-2025.pdf,AI-Governance-Dialogue-Steering-the-Future-of-AI-2025.pdf,pdf,ai,,unknown,unknown,,artificial_intelligence,future_readiness,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000047,ai-readiness-model-whitepaper.pdf,ai-readiness-model-whitepaper.pdf,pdf,ai,,academic,unknown,,artificial_intelligence,ai_readiness,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000048,ai-readiness-report.pdf,ai-readiness-report.pdf,pdf,ai,,industry_report,unknown,,artificial_intelligence,ai_readiness,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000049,AI-Report_Full-Report.pdf,AI-Report_Full-Report.pdf,pdf,ai,,industry_report,unknown,,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000050,AimeHumphreyDeRuePaul2014.pdf,AimeHumphreyDeRuePaul2014.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000051,Americas Digital Baseline 2021.pdf,Americas Digital Baseline 2021.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000052,Antecedents and Consequences of Resource Redeployment.pdf,Antecedents and Consequences of Resource Redeployment.pdf,pdf,dynamic_capabilities,,unknown,unknown,,,resource_reallocation,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000053,Argentina - Compute and AI strategy.pdf,Argentina - Compute and AI strategy.pdf,pdf,ai,,unknown,unknown,,artificial_intelligence,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000054,Argyris-C.-Theories-of-action-double-loop-learning-and-organizational-learning-revised-20-9-2011.pdf,Argyris-C.-Theories-of-action-double-loop-learning-and-organizational-learning-revised-20-9-2011.pdf,pdf,operating_models,,unknown,unknown,,,learning;organizational_design,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000055,Artificial Intelligence as a Catalyst for Dynamic Capabilities.pdf,Artificial Intelligence as a Catalyst for Dynamic Capabilities.pdf,pdf,ai,dynamic_capabilities,unknown,unknown,,artificial_intelligence,,,,,dynamic_capabilities,kinetic_organization,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000056,AWS- 2026+Future+of+Ecommerce.pdf,AWS- 2026+Future+of+Ecommerce.pdf,pdf,customer_experience,,unknown,unknown,consumer_retail_ecommerce,,,,,ecommerce,,web_strategy_course,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000057,Bain - Agile Organization.pdf,Bain - Agile Organization.pdf,pdf,agile,operating_models,consulting,Bain,,,agility;organizational_design,,agile,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000058,BAIN- technology_report_2025.pdf,BAIN- technology_report_2025.pdf,pdf,other,,consulting,Bain,technology_saas_platforms,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000059,Balkans - Digital Transformation.pdf,Balkans - Digital Transformation.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000060,Bangladesh - AI_and_The_Digital_Transformation_of_Bangladesh - Copy.pdf,Bangladesh - AI_and_The_Digital_Transformation_of_Bangladesh - Copy.pdf,pdf,ai,digital_transformation,unknown,unknown,,artificial_intelligence,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,duplicate_or_copy_indicator;no_source_type_filename_match
codex_doc_000061,Bangladesh - AI_and_The_Digital_Transformation_of_Bangladesh.pdf,Bangladesh - AI_and_The_Digital_Transformation_of_Bangladesh.pdf,pdf,ai,digital_transformation,unknown,unknown,,artificial_intelligence,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000062,BCG - Leaders Path to Digital Value Infographic-June 21.pdf,BCG - Leaders Path to Digital Value Infographic-June 21.pdf,pdf,other,,consulting,BCG,,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000063,BCG - Technology role in digital acceleration.pdf,BCG - Technology role in digital acceleration.pdf,pdf,velocity,,consulting,BCG,technology_saas_platforms,,velocity,,,,,overclocked,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000064,BCG - the-ceos-guide-to-physical-ai.pdf,BCG - the-ceos-guide-to-physical-ai.pdf,pdf,ai,,consulting,BCG,,artificial_intelligence,,,,,,writing,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000065,BCG Four Strategies to Orchestrate a Digital ecosystem Sep 20.pdf,BCG Four Strategies to Orchestrate a Digital ecosystem Sep 20.pdf,pdf,platforms_marketplaces,,consulting,BCG,,,,ecosystem,networked,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000066,Belize - NATIONAL-DIGITAL-AGENDA-FINAL.pdf,Belize - NATIONAL-DIGITAL-AGENDA-FINAL.pdf,pdf,government,,government,unknown,government_public_sector,,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000067,Blockchain - Legal.pdf,Blockchain - Legal.pdf,pdf,blockchain,,unknown,unknown,,blockchain,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000068,Blockchain - real-world-asset-tokenization-guide-2024.pdf,Blockchain - real-world-asset-tokenization-guide-2024.pdf,pdf,blockchain,,practitioner,unknown,,blockchain,,tokenization,,,,writing,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000069,Blockchain - State of RWA Tokenization 2026 Report.pdf,Blockchain - State of RWA Tokenization 2026 Report.pdf,pdf,blockchain,,industry_report,unknown,,blockchain,,tokenization,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000070,Blockchain - The-Global-Digital-Asset-and-Web3-Adoption-Report.pdf,Blockchain - The-Global-Digital-Asset-and-Web3-Adoption-Report.pdf,pdf,blockchain,global_digital_policy,industry_report,unknown,,blockchain,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000071,Blockchain - Tokenomics.pdf,Blockchain - Tokenomics.pdf,pdf,blockchain,,unknown,unknown,,blockchain,,tokenization,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000072,Borino and digitization.pdf,Borino and digitization.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000073,Brazil and AI Investment.pdf,Brazil and AI Investment.pdf,pdf,ai,,unknown,unknown,,artificial_intelligence,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000074,Brazil and Digital Leadership.pdf,Brazil and Digital Leadership.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000075,brazil digital strategy_2022-2026.pdf,brazil digital strategy_2022-2026.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000076,Build Strategic Assumptions by Spotting Trends Early.pdf,Build Strategic Assumptions by Spotting Trends Early.pdf,pdf,other,,industry_report,unknown,,,future_readiness,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000077,Building Customer Trust in AI with Blockchain.pdf,Building Customer Trust in AI with Blockchain.pdf,pdf,ai,blockchain;customer_experience,unknown,unknown,,artificial_intelligence;blockchain,trust,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000078,Business Ecosystem Value Creation.pdf,Business Ecosystem Value Creation.pdf,pdf,innovation,platforms_marketplaces,unknown,unknown,,,,ecosystem,networked,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000079,Business Models - Academic - Digital Impact.pdf,Business Models - Academic - Digital Impact.pdf,pdf,business_models,,academic,unknown,education_research,,,,,,business_model_canvas,mba_digital_strategy,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000080,Cambodia - Digital.pdf,Cambodia - Digital.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000081,Cambodia - Digital_Government_Policy_2022_2035_English.pdf,Cambodia - Digital_Government_Policy_2022_2035_English.pdf,pdf,government,,government,unknown,government_public_sector,,,,,,,government_as_a_service,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000082,Canada - Digital Service.pdf,Canada - Digital Service.pdf,pdf,government,,unknown,unknown,,,,,,customer_service,,government_as_a_service,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000083,Canada - Digital.pdf,Canada - Digital.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000084,Cap Gemini - AI Advantage Final-Web-Version-Research-Brief-AI-Perspectives.pdf,Cap Gemini - AI Advantage Final-Web-Version-Research-Brief-AI-Perspectives.pdf,pdf,ai,,academic,Capgemini,education_research,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000085,Cap Gemini - CMO - CRI_CMO-Playbook-2025_Web_updated-1.pdf,Cap Gemini - CMO - CRI_CMO-Playbook-2025_Web_updated-1.pdf,pdf,other,,consulting,Capgemini,,,,,,,,writing,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000086,Cap Gemini - Digital-AI-in-Business-Operation.pdf,Cap Gemini - Digital-AI-in-Business-Operation.pdf,pdf,ai,,consulting,Capgemini,,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000087,Cap Gemini - Final-Web-Version-Report-Consumer-Trends-2026.pdf,Cap Gemini - Final-Web-Version-Report-Consumer-Trends-2026.pdf,pdf,customer_experience,,consulting,Capgemini,consumer_retail_ecommerce,,future_readiness,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000088,Cap Gemini - Gen-AI-in-Decision-Making.pdf,Cap Gemini - Gen-AI-in-Decision-Making.pdf,pdf,ai,,consulting,Capgemini,,artificial_intelligence,decision_making,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000089,Cap Gemini - Olaf-Groth.pdf,Cap Gemini - Olaf-Groth.pdf,pdf,other,,consulting,Capgemini,,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000090,Cap Gemini - Report-Tech-In-Sports_V3.pdf,Cap Gemini - Report-Tech-In-Sports_V3.pdf,pdf,other,,consulting,Capgemini,sports_entertainment,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000091,Capgemini - Top_Tech_Trends_Report_2026.pdf,Capgemini - Top_Tech_Trends_Report_2026.pdf,pdf,other,,consulting,Capgemini,,,future_readiness,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000092,Carribean - Unesco - digital.pdf,Carribean - Unesco - digital.pdf,pdf,global_digital_policy,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000093,ceo-of-korber - pivot from manufacturer to tech stack.pdf,ceo-of-korber - pivot from manufacturer to tech stack.pdf,pdf,other,,unknown,unknown,,,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000094,Change Leaders - Creating resiliance in uncertain times.pdf,Change Leaders - Creating resiliance in uncertain times.pdf,pdf,other,,unknown,unknown,,,resilience,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000095,Chapter 7 Research - The Effects of Hierarchy on learning and performance.pdf,Chapter 7 Research - The Effects of Hierarchy on learning and performance.pdf,pdf,other,,academic,unknown,education_research,,learning,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000096,Chile - digital identity.pdf,Chile - digital identity.pdf,pdf,other,,unknown,unknown,,digital_identity,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000097,China - NBRsr97-china-digital-ambitions.pdf,China - NBRsr97-china-digital-ambitions.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000098,China _14th_Five_Year_Plan_EN.pdf,China _14th_Five_Year_Plan_EN.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000099,China-Primer-Digital-Governance-2021_final.pdf,China-Primer-Digital-Governance-2021_final.pdf,pdf,other,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000100,Chinese Communist Party's Layered Artificial Intelligence Strategy.pdf,Chinese Communist Party's Layered Artificial Intelligence Strategy.pdf,pdf,ai,,unknown,unknown,,artificial_intelligence,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000101,Competing digital capacities  between state-led digital governance and local data center tradeoffs.pdf,Competing digital capacities  between state-led digital governance and local data center tradeoffs.pdf,pdf,technology_infrastructure,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000102,Composable - Building-composable-enterprise-ebook.pdf,Composable - Building-composable-enterprise-ebook.pdf,pdf,other,,unknown,unknown,,,composability,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000103,Composable - Communication_Holismand_the_Evolution_of_Sociopoli.pdf,Composable - Communication_Holismand_the_Evolution_of_Sociopoli.pdf,pdf,other,,unknown,unknown,,,composability,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000104,CONTINUOUS ADAPTATION.pdf,CONTINUOUS ADAPTATION.pdf,pdf,adaptability,,unknown,unknown,,,adaptability,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000105,Costa Rica National AI Strategy.pdf,Costa Rica National AI Strategy.pdf,pdf,ai,government,government,unknown,government_public_sector,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000106,Crusoe - 2026_AI_Infrastructure_Trends_Report.pdf,Crusoe - 2026_AI_Infrastructure_Trends_Report.pdf,pdf,ai,technology_infrastructure,industry_report,unknown,,artificial_intelligence,future_readiness,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000107,Customer Centricity - CDP and Attribution.pdf,Customer Centricity - CDP and Attribution.pdf,pdf,customer_experience,,unknown,unknown,,analytics,customer_intelligence,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000108,Customer Centricity - Explore the B2B Elements of Value - Bain & Company.pdf,Customer Centricity - Explore the B2B Elements of Value - Bain & Company.pdf,pdf,customer_experience,,consulting,Bain,,,,,,,elements_of_value,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000109,Customer Centricity - Identity Management.pdf,Customer Centricity - Identity Management.pdf,pdf,customer_experience,,unknown,unknown,,digital_identity,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000110,Customer Centricity - The 30 Elements of Consumer Value_ A Hierarchy.pdf,Customer Centricity - The 30 Elements of Consumer Value_ A Hierarchy.pdf,pdf,customer_experience,,unknown,unknown,consumer_retail_ecommerce,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000111,Customer Journey - Accenture-Moments-that-Matter-Full-Report.pdf,Customer Journey - Accenture-Moments-that-Matter-Full-Report.pdf,pdf,customer_experience,,consulting,Accenture,,,,,,,,web_strategy_course,high,filename_and_metadata_heuristics_v1,false,
